state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
36,005,0110,45201,10,40.816,-73.902,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2016,Parts per billion Carbon,No Events,58,95.0,Y,58,61,0,3,,,Certification not required,1.275862,0.623322,4.0,2016-01-07 00:00,2.9,2016-11-08 00:00,2.2,2016-01-25 00:00,2.1,2016-05-12 00:00,,,,,4.0,2.9,2.2,2.0,1.5,1.1,0.7,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-21
36,005,0110,45201,20,40.816,-73.902,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2016,Parts per billion Carbon,No Events,57,93.0,Y,57,61,0,0,,,Certification not required,1.291228,0.627717,4.0,2016-01-07 00:00,3.0,2016-11-08 00:00,2.2,2016-01-25 00:00,2.1,2016-05-12 00:00,,,,,4.0,3.0,2.2,1.9,1.5,1.2,0.6,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-21
36,005,0110,45201,2,40.816,-73.902,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2016,Parts per billion Carbon,No Events,60,98.0,Y,60,61,0,1,,,Certification not required,1.283333,0.607626,4.0,2016-01-07 00:00,2.9,2016-11-08 00:00,2.1,2016-01-25 00:00,2.1,2016-11-14 00:00,,,,,4.0,2.9,2.1,2.0,1.6,1.2,0.7,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-21
36,047,0118,45201,2,40.69454,-73.92769,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2016,Parts per billion Carbon,No Events,57,93.0,Y,57,61,0,4,,,Certification not required,1.375439,0.70743,4.4,2016-01-07 00:00,3.4,2016-11-08 00:00,2.8,2016-01-25 00:00,2.6,2016-05-12 00:00,,,,,4.4,3.4,2.8,2.2,1.6,1.2,0.7,PS 274,PS 274  800 BUSHWICK AVE,New York,Kings,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-21
36,081,0124,45201,2,40.73614,-73.82153,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2016,Parts per billion Carbon,No Events,59,97.0,Y,59,61,0,2,,,Certification not required,1.086441,0.672734,4.5,2016-01-07 00:00,2.9,2016-11-08 00:00,2.6,2016-11-14 00:00,1.9,2016-05-12 00:00,,,,,4.5,2.9,2.6,1.8,1.2,0.9,0.5,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-21
36,081,0124,45201,4,40.73614,-73.82153,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2016,Parts per billion Carbon,No Events,59,97.0,Y,59,61,0,2,,,Certification not required,1.10678,0.707561,4.8,2016-01-07 00:00,2.9,2016-11-08 00:00,2.6,2016-11-14 00:00,2.0,2016-05-12 00:00,,,,,4.8,2.9,2.6,1.8,1.3,0.9,0.5,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-21
36,085,0111,45201,2,40.58027,-74.19832,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2016,Parts per billion Carbon,No Events,53,87.0,N,53,61,0,8,,,Certification not required,1.432075,0.939061,4.3,2016-08-28 00:00,4.3,2016-09-21 00:00,3.9,2016-01-07 00:00,3.3,2016-11-08 00:00,,,,,4.3,4.3,3.9,2.6,1.8,1.2,0.5,FRESHKILLS WEST,FRESHKILLS WEST   310 West Service Road,New York,Richmond,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-21
36,005,0133,45201,1,40.8679,-73.87809,WGS84,Benzene,1,1 HOUR,,Observed Values,PRECONCENTRATION TRAP - PE 8700;AUTO GC;SUBAMBIENT-DUAL FID,2016,Parts per billion Carbon,No Events,2079,24.0,N,90,366,0,176,,,Certification not required,1.003689,0.555187,7.33,2016-06-17 01:00,5.72,2016-07-14 22:00,5.38,2016-07-14 21:00,5.35,2016-07-14 23:00,,,,,3.18,2.43,1.95,1.59,1.2,0.88,0.53,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-21
36,005,0133,45201,4,40.8679,-73.87809,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2016,Parts per billion Carbon,No Events,61,100.0,Y,61,61,0,0,,,Certification not required,1.167213,0.596859,3.8,2016-01-07 00:00,2.5,2016-11-08 00:00,2.1,2016-01-25 00:00,2.1,2016-03-07 00:00,,,,,3.8,2.5,2.1,2.0,1.4,1.0,0.6,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-21
36,005,0133,45201,2,40.8679,-73.87809,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2016,Parts per billion Carbon,No Events,61,100.0,Y,61,61,0,0,,,Certification not required,1.140984,0.576303,3.6,2016-01-07 00:00,2.5,2016-11-08 00:00,2.1,2016-11-14 00:00,2.1,2016-12-20 00:00,,,,,3.6,2.5,2.1,1.9,1.4,1.0,0.6,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-21
