CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
"Charlotte-Concord-Gastonia, NC-SC",16740,2015,365,131,223,11,0,0,0,129,77,54,0,2,143,220,0
"Charlottesville, VA",16820,2015,365,271,94,0,0,0,0,77,57,41,0,0,124,241,0
"Chattanooga, TN-GA",16860,2015,363,168,192,3,0,0,0,133,66,52,0,0,88,275,0
"Cheyenne, WY",16940,2015,365,302,62,0,1,0,0,152,61,43,1,3,310,50,1
"Chicago-Naperville-Elgin, IL-IN-WI",16980,2015,365,39,312,11,3,0,0,195,85,61,0,11,51,288,15
"Chico, CA",17020,2015,365,138,214,12,1,0,0,153,84,55,0,0,198,166,1
"Cincinnati, OH-KY-IN",17140,2015,365,90,264,10,1,0,0,151,84,57,0,12,74,276,3
"Claremont-Lebanon, NH-VT",17200,2015,365,282,83,0,0,0,0,90,58,39,0,0,182,183,0
"Clarksburg, WV",17220,2015,116,65,51,0,0,0,0,86,61,46,0,0,0,116,0
"Clarksville, TN-KY",17300,2015,365,209,156,0,0,0,0,87,62,48,0,0,136,229,0
"Clearlake, CA",17340,2015,363,351,11,1,0,0,0,148,47,36,0,0,359,4,0
"Cleveland, MS",17380,2015,245,226,19,0,0,0,0,90,49,38,0,0,245,0,0
"Cleveland-Elyria, OH",17460,2015,365,92,262,11,0,0,0,133,82,58,0,8,66,274,17
"Clinton, IA",17540,2015,365,114,250,1,0,0,0,146,73,56,0,0,32,333,0
"Coeur d'Alene, ID",17660,2015,324,226,92,3,3,0,0,172,70,40,0,0,0,324,0
"Colorado Springs, CO",17820,2015,365,283,81,1,0,0,0,105,64,44,2,0,351,12,0
"Columbia, MO",17860,2015,214,197,17,0,0,0,0,90,49,38,0,0,214,0,0
"Columbia, SC",17900,2015,365,181,184,0,0,0,0,92,61,51,0,0,91,274,0
"Columbus, GA-AL",17980,2015,363,122,239,2,0,0,0,141,68,54,0,0,28,335,0
"Columbus, IN",18020,2015,365,178,185,2,0,0,0,115,69,51,0,4,78,283,0
"Columbus, OH",18140,2015,365,163,197,5,0,0,0,112,71,52,0,17,101,247,0
"Concord, NH",18180,2015,362,354,7,1,0,0,0,105,45,33,0,0,362,0,0
"Cookeville, TN",18260,2015,118,81,37,0,0,0,0,65,58,37,0,0,0,118,0
"Corning, NY",18500,2015,358,290,68,0,0,0,0,80,56,36,3,0,201,154,0
"Corpus Christi, TX",18580,2015,365,203,160,2,0,0,0,112,67,48,0,0,121,244,0
